iter	Passed	Remaining
415	3414	4793
416	3423	4785
417	3431	4778
418	3439	4769
419	3446	4759
420	3455	4752
421	3465	4746
422	3472	4737
423	3482	4730
424	3491	4723
425	3499	4715
426	3507	4706
427	3515	4698
428	3523	4689
429	3531	4680
430	3539	4672
431	3547	4664
432	3556	4656
433	3564	4648
434	3572	4640
435	3581	4632
436	3589	4623
437	3596	4614
438	3604	4606
439	3612	4597
440	3621	4589
441	3629	4581
442	3637	4574
443	3646	4566
444	3654	4558
445	3663	4550
446	3671	4541
447	3679	4533
448	3688	4526
449	3697	4518
450	3705	4510
451	3712	4501
452	3720	4492
453	3728	4484
454	3736	4475
455	3743	4466
456	3751	4457
457	3760	4449
458	3767	4440
459	3776	4433
460	3784	4424
461	3793	4417
462	3801	4409
463	3810	4401
464	3818	4393
465	3827	4386
466	3836	4379
467	3844	4370
468	3852	4361
469	3860	4353
470	3867	4344
471	3876	4336
472	3884	4327
473	3893	4320
474	3901	4312
475	3910	4304
476	3918	4296
477	3927	4289
478	3936	4281
479	3944	4273
480	3953	4266
481	3961	4256
482	3974	4254
483	3984	4247
484	3990	4237
485	3998	4229
486	4006	4220
487	4014	4212
488	4023	4204
489	4031	4196
490	4040	4188
491	4049	4180
492	4057	4172
493	4065	4164
494	4073	4155
495	4081	4147
496	4089	4138
497	4097	4130
498	4105	4122
499	4113	4113
500	4122	4106
501	4132	4099
502	4139	4090
503	4148	4082
504	4156	4073
505	4163	4064
506	4173	4057
507	4181	4049
508	4189	4041
509	4198	4033
510	4206	4025
511	4214	4016
512	4223	4009
513	4232	4001
514	4239	3992
515	4247	3983
516	4255	3975
517	4263	3966
518	4270	3957
519	4278	3949
520	4286	3941
521	4295	3933
522	4303	3924
523	4311	3916
524	4319	3908
525	4328	3900
526	4335	3891
527	4344	3884
528	4353	3875
529	4361	3867
530	4368	3858
531	4376	3850
532	4384	3841
533	4392	3832
534	4400	3824
535	4408	3816
536	4416	3808
537	4424	3799
538	4433	3791
539	4442	3783
540	4449	3775
541	4459	3768
542	4467	3760
543	4476	3752
544	4483	3743
545	4492	3735
546	4501	3728
547	4509	3719
548	4517	3711
549	4527	3703
550	4535	3695
551	4543	3687
552	4551	3679
553	4559	3671
554	4568	3663
555	4577	3655
556	4585	3646
557	4593	3638
558	4601	3630
559	4610	3622
560	4619	3614
561	4627	3606
562	4635	3597
563	4643	3589
564	4652	3581
565	4660	3573
566	4667	3564
567	4676	3556
568	4684	3548
569	4693	3540
570	4702	3533
571	4711	3525
572	4720	3517
573	4729	3509
574	4737	3501
575	4747	3494
576	4756	3487
577	4765	3479
578	4774	3471
579	4784	3464
580	4792	3455
581	4800	3447
582	4808	3439
583	4816	3430
584	4827	3424
585	4836	3416
586	4845	3409
587	4854	3401
588	4862	3392
589	4870	3384
590	4878	3375
591	4885	3367
592	4894	3359
593	4902	3350
594	4910	3342
595	4919	3334
596	4927	3326
597	4936	3318
598	4945	3310
599	4954	3302
600	4968	3298
601	4977	3290
602	4986	3282
603	4995	3275
604	5004	3267
605	5012	3258
606	5021	3250
607	5030	3243
608	5039	3235
609	5048	3227
610	5057	3219
611	5066	3212
612	5074	3203
613	5082	3195
614	5090	3187
615	5099	3179
616	5107	3170
617	5117	3163
618	5126	3155
619	5136	3148
620	5144	3139
621	5153	3131
622	5160	3122
623	5168	3114
624	5177	3106
625	5186	3098
626	5196	3091
627	5205	3083
628	5215	3076
629	5223	3067
630	5231	3059
631	5240	3051
632	5249	3043
633	5257	3035
634	5266	3027
635	5274	3019
636	5283	3011
637	5292	3002
638	5301	2994
639	5310	2986
640	5318	2978
641	5326	2970
642	5335	2962
643	5342	2953
644	5351	2945
645	5359	2937
646	5367	2928
647	5376	2920
648	5385	2912
649	5394	2904
650	5402	2896
651	5411	2888
652	5420	2880
653	5428	2871
654	5437	2864
655	5445	2855
656	5455	2847
657	5463	2839
658	5471	2831
659	5481	2823
660	5490	2816
661	5499	2808
662	5509	2800
663	5517	2791
664	5526	2783
665	5536	2776
666	5545	2768
667	5553	2760
668	5564	2753
669	5573	2745
670	5583	2737
671	5592	2729
672	5599	2720
673	5608	2712
674	5616	2704
675	5624	2695
676	5632	2687
677	5641	2679
678	5649	2670
679	5658	2662
680	5667	2654
681	5675	2646
682	5683	2637
683	5691	2629
684	5699	2621
685	5708	2612
686	5716	2604
687	5724	2595
688	5732	2587
689	5740	2579
690	5749	2570
691	5758	2562
692	5767	2554
693	5775	2546
694	5782	2537
695	5791	2529
696	5800	2521
697	5810	2513
698	5818	2505
699	5825	2496
700	5833	2488
701	5841	2479
702	5850	2471
703	5859	2463
704	5867	2455
705	5875	2446
706	5883	2438
707	5891	2429
708	5899	2421
709	5908	2413
710	5916	2404
711	5925	2396
712	5934	2388
713	5942	2380
714	5950	2371
715	5966	2366
716	5975	2358
717	5985	2351
718	5994	2342
719	6004	2335
720	6012	2326
721	6021	2318
722	6029	2310
723	6038	2301
724	6046	2293
725	6055	2285
726	6063	2276
727	6070	2268
728	6079	2259
729	6087	2251
730	6095	2243
731	6103	2234
732	6113	2226
733	6122	2218
734	6130	2210
735	6138	2201
736	6146	2193
737	6157	2185
738	6166	2177
739	6174	2169
740	6183	2161
741	6191	2153
742	6199	2144
743	6207	2135
744	6215	2127
745	6224	2119
746	6233	2111
747	6242	2102
748	6251	2095
749	6259	2086
750	6269	2078
751	6277	2070
752	6285	2061
753	6293	2053
754	6301	2044
755	6309	2036
756	6317	2028
757	6326	2019
758	6334	2011
759	6343	2003
760	6351	1994
761	6358	1986
762	6367	1977
763	6377	1969
764	6386	1961
765	6396	1954
766	6404	1945
767	6412	1936
768	6419	1928
769	6427	1919
770	6435	1911
771	6444	1903
772	6452	1894
773	6459	1886
774	6467	1877
775	6476	1869
776	6484	1861
777	6492	1852
778	6500	1844
779	6508	1835
780	6516	1827
781	6525	1819
782	6533	1810
783	6541	1802
784	6549	1793
785	6556	1785
786	6565	1776
787	6573	1768
788	6583	1760
789	6592	1752
790	6600	1744
791	6610	1735
792	6617	1727
793	6626	1719
794	6634	1710
795	6644	1702
796	6652	1694
797	6660	1686
798	6670	1678
799	6678	1669
800	6687	1661
801	6695	1653
802	6704	1644
803	6713	1636
804	6722	1628
805	6730	1620
806	6740	1611
807	6747	1603
808	6755	1595
809	6763	1586
810	6771	1578
811	6779	1569
812	6788	1561
813	6797	1553
814	6804	1544
815	6814	1536
816	6822	1528
817	6831	1519
818	6839	1511
819	6848	1503
820	6856	1494
821	6864	1486
822	6872	1478
823	6881	1469
824	6890	1461
825	6899	1453
