iter	Logloss
0	0.6462021487
1	0.6055242499
2	0.5714299963
3	0.5415821428
4	0.5158702643
5	0.4946320724
6	0.4760106888
7	0.460518285
8	0.447193342
9	0.4357280522
10	0.4258541383
11	0.4167478445
12	0.4087458608
13	0.4024306704
14	0.396683996
15	0.3919378504
16	0.3878798862
17	0.3837640764
18	0.3806351052
19	0.3780091094
20	0.3752917703
21	0.3733215328
22	0.37082675
23	0.368323053
24	0.3669256972
25	0.3650215044
26	0.3637189415
27	0.3625950037
28	0.3611998265
29	0.3597863068
30	0.3586670361
31	0.3579049899
32	0.3570256837
33	0.3561038267
34	0.3550500555
35	0.3529792392
36	0.352101171
37	0.3516817918
38	0.3507097596
39	0.3502917412
40	0.3497796029
41	0.3490144281
42	0.3487300504
43	0.3482070182
44	0.3475228332
45	0.3469112715
46	0.3451995542
47	0.3444388843
48	0.34383156
49	0.3429712859
50	0.3425010885
51	0.3419948421
52	0.3413682708
53	0.3406474738
54	0.3399470097
55	0.3395331943
56	0.3390574696
57	0.338369729
58	0.337996908
59	0.3375663646
60	0.3364845838
61	0.3358684802
62	0.3358050239
63	0.3348148265
64	0.3341673469
65	0.3339425872
66	0.3335029273
67	0.3329234707
68	0.3317412083
69	0.3309885714
70	0.3307701439
71	0.3297863685
72	0.329412136
73	0.3290511747
74	0.3286061826
75	0.3285454555
76	0.3275641539
77	0.3272717666
78	0.3267355847
79	0.3263524498
80	0.3260246112
81	0.3244743828
82	0.323299543
83	0.3228169929
84	0.3220101743
85	0.3211915285
86	0.3202816575
87	0.3200209532
88	0.3196536763
89	0.3194590738
90	0.3191357974
91	0.3189315003
92	0.3180758451
93	0.3170839681
94	0.3170663448
95	0.3161882176
96	0.3158395147
97	0.3155541655
98	0.3151945755
99	0.315071454
100	0.3149005085
101	0.3147043072
102	0.3144677463
103	0.3143178978
104	0.3141935938
105	0.3140076398
106	0.3137193835
107	0.3135897525
108	0.3132274083
109	0.3130487694
110	0.3120473478
111	0.3120175813
112	0.3117673985
113	0.311734127
114	0.311434402
115	0.3109700826
116	0.3104469049
117	0.3103917684
118	0.3101723013
119	0.3099411582
120	0.3097632448
121	0.3095109985
122	0.3091255082
123	0.308705446
124	0.308567531
125	0.3083382369
126	0.3082538024
127	0.3078832911
128	0.3077863813
129	0.3076116261
130	0.3074583327
131	0.3070663252
132	0.306852986
133	0.3066060504
134	0.3064423844
135	0.3063330939
136	0.3063039828
137	0.3059129067
138	0.3053679136
139	0.3052609412
140	0.3050412578
141	0.3046310921
142	0.3044577424
143	0.3041396127
144	0.3040104335
145	0.3038569265
146	0.3035567025
147	0.3032956299
148	0.3029582078
149	0.3028059582
150	0.3025494041
151	0.3021867106
152	0.3019809798
153	0.3016630088
154	0.3015385145
155	0.301443957
156	0.3013491278
157	0.3011276895
158	0.3008096377
159	0.3002613429
160	0.2999389798
161	0.2996213233
162	0.2994614418
163	0.2991178589
164	0.2986362842
165	0.2982244172
166	0.2981103759
167	0.2979503015
168	0.2976984036
169	0.2975935897
170	0.2974061852
171	0.2969357351
172	0.2967906735
173	0.2967277084
174	0.2961511129
175	0.2959294533
176	0.2958014683
177	0.2957307543
178	0.2955700872
179	0.2954752312
180	0.2953652834
181	0.295088322
182	0.2949227213
183	0.2948019243
184	0.2947069346
185	0.2945143802
186	0.2943501226
187	0.2943130983
188	0.2940236433
189	0.2938095631
190	0.2934695603
191	0.2933380642
192	0.2932173847
193	0.2931650774
194	0.2931372564
195	0.2927330825
196	0.2925640888
197	0.2923761726
198	0.2920642313
199	0.2919791243
200	0.2914983791
201	0.2911738731
202	0.2909943741
203	0.2909484914
204	0.2907345102
205	0.2903450663
206	0.2901771238
207	0.2897733838
208	0.2895685482
209	0.289347969
210	0.2892819265
211	0.2892054435
212	0.2886352242
213	0.2884430152
214	0.2881214546
215	0.2879379557
216	0.2877798903
217	0.287559291
218	0.2871422821
219	0.2869807721
220	0.2869384273
221	0.2866594303
222	0.2863515747
223	0.2862922617
224	0.2860778524
225	0.2859624806
226	0.2858190702
227	0.2856466633
228	0.2855960208
229	0.2855296388
230	0.2852639883
231	0.2850952428
232	0.2848193704
233	0.2847231922
234	0.2843438842
235	0.2842390969
236	0.2841695355
237	0.2840782811
238	0.2840153059
239	0.2839679386
240	0.2838981149
241	0.2837683053
242	0.2835770355
243	0.2835019335
244	0.2833852495
245	0.2832383945
246	0.2831833162
247	0.2830995384
248	0.2829710933
249	0.2828445726
250	0.2825891484
251	0.2824565303
252	0.2823740276
253	0.282178901
254	0.2820172105
255	0.2819452442
256	0.2818950666
257	0.2816293276
258	0.2815911968
259	0.2813461223
260	0.2811922539
261	0.2811202429
262	0.2810702545
263	0.2810146941
264	0.2809412173
265	0.280898494
266	0.2806574129
267	0.2805063682
268	0.2804479455
269	0.2801751966
270	0.2799077879
271	0.2798640532
272	0.2796637565
273	0.279345727
274	0.2793070625
275	0.2789744685
276	0.2788079535
277	0.2787200351
278	0.2786334086
279	0.2785340495
280	0.2784601719
281	0.2783151397
282	0.2782360236
283	0.2780997346
284	0.2780273042
285	0.2776731884
286	0.2774329097
287	0.2773985703
288	0.2772899156
289	0.2772479229
290	0.2770971735
291	0.2770603023
292	0.2769431224
293	0.2767749871
294	0.2767317812
295	0.2765153792
296	0.2763875189
297	0.2763165937
298	0.2761771742
299	0.2760796072
300	0.2759502643
301	0.2758058775
302	0.275601031
303	0.2755109709
304	0.2753704857
305	0.2752673656
306	0.2752075174
307	0.275030422
308	0.2748507876
309	0.2745986475
310	0.2745186711
311	0.2743714447
312	0.2742441696
313	0.274146201
314	0.2740291771
315	0.2738675408
316	0.2737605674
317	0.2736825572
318	0.2735527192
319	0.2735383331
320	0.273501086
321	0.2734379838
322	0.2733585493
323	0.2733066774
324	0.2732613227
325	0.2731175277
326	0.2728816959
327	0.2728107635
328	0.27273017
329	0.2726651984
330	0.2726048939
331	0.2723701961
332	0.272103878
333	0.2718822376
334	0.2718544759
335	0.2717276262
336	0.2715679561
337	0.271519356
338	0.2713357735
339	0.2711481742
340	0.2710998008
341	0.2710111316
342	0.2709880849
343	0.2709408083
344	0.2708590994
345	0.2707473873
346	0.270504516
347	0.2702420604
348	0.2700437845
349	0.269882038
350	0.2696642266
351	0.269311878
352	0.2692093437
353	0.2689521892
354	0.2689033719
355	0.2688879423
356	0.268761023
357	0.2686160128
358	0.2684222026
359	0.2683366635
360	0.2682874921
361	0.268162801
362	0.2681182504
363	0.2680159039
364	0.2676729029
365	0.2676203513
366	0.2675961443
367	0.2675209869
368	0.2674186365
369	0.2672841111
370	0.2672231187
371	0.2670904639
372	0.2669437088
373	0.2666390408
374	0.2665199987
375	0.2664101577
376	0.2662732306
377	0.266183785
378	0.266074124
379	0.2660512214
380	0.2659450398
381	0.2657747038
382	0.2656588451
383	0.2654966199
384	0.265372054
385	0.2653182555
386	0.265252655
387	0.2652106483
388	0.2650544166
389	0.264977333
390	0.2648665519
391	0.2644624756
392	0.2644385333
393	0.2643657117
394	0.2642924198
395	0.2638915243
396	0.2638050368
397	0.2637076098
398	0.2635625692
399	0.263470805
400	0.263452726
401	0.2634128461
402	0.2633431334
403	0.2632816582
404	0.2631269116
405	0.2630034575
406	0.2627729863
407	0.2627223012
408	0.2625160133
409	0.2624370269
410	0.2623363844
411	0.2620897642
412	0.2619998234
413	0.2618876843
414	0.2616756636
415	0.2613512795
416	0.2612684661
417	0.2609844332
418	0.2607561201
419	0.2607357764
420	0.2605727247
421	0.2604370115
422	0.2604110652
423	0.2602236672
424	0.2601205352
425	0.2599067427
426	0.2598364426
427	0.2596859749
428	0.259681583
429	0.2595857204
430	0.2595147214
431	0.2594169154
432	0.2593130826
433	0.2592327559
434	0.2591900691
435	0.2590419615
436	0.2589656783
437	0.2588869533
438	0.2587939099
439	0.258779096
440	0.2587219331
441	0.2585868914
442	0.2585076643
443	0.2583019217
444	0.2581624726
445	0.2579367266
446	0.2578973686
447	0.2578242338
448	0.257712566
449	0.2576560114
450	0.257595812
451	0.2573231244
452	0.2570802818
453	0.2567937263
454	0.2566478863
455	0.2565645943
456	0.2564826484
457	0.2563406729
458	0.2562592735
459	0.2560277163
460	0.2559388132
461	0.2556586749
462	0.2555937942
463	0.2554618907
464	0.2552837059
465	0.2551976201
466	0.2551630102
467	0.2550567722
468	0.2549402712
469	0.2548901177
470	0.254850158
471	0.2547375272
472	0.2546251448
473	0.2544275738
474	0.2541737527
475	0.2539713218
476	0.2537398213
477	0.2536285385
478	0.2535742631
479	0.2534395244
480	0.2532597719
481	0.2532532851
482	0.253232053
483	0.2530781316
484	0.2530568074
485	0.2529726271
486	0.2528791261
487	0.252668502
488	0.2526345955
489	0.2524709819
490	0.2523357515
491	0.2522446515
492	0.2521608606
493	0.2520768593
494	0.2517185458
495	0.2515886924
496	0.2515613319
497	0.2515386001
498	0.2514339355
499	0.2512678938
500	0.2511325526
501	0.25092355
502	0.2507480391
503	0.2507068871
504	0.2506431021
505	0.2505334738
506	0.2502808929
507	0.2500889112
508	0.2498794687
509	0.2497472176
510	0.2495512661
511	0.2495264733
512	0.2493790042
513	0.2493290484
514	0.2491067601
515	0.2489522608
516	0.2489000808
517	0.248826088
518	0.2488164916
519	0.248734167
520	0.2486609171
521	0.2485571924
522	0.2484417436
523	0.248351601
524	0.2482734299
525	0.2481157794
526	0.2480180108
527	0.2479511933
528	0.2477316945
529	0.2474735115
530	0.2474535282
531	0.2472874087
532	0.2472483821
533	0.2470468276
534	0.2469596026
535	0.2469294413
536	0.2469016023
537	0.2468107182
538	0.2467180196
539	0.2466353562
540	0.2466162095
541	0.246472504
542	0.246439288
543	0.246395126
544	0.246349321
545	0.2462108245
546	0.2461519874
547	0.246103623
548	0.2459559493
549	0.2457252914
550	0.2456137426
551	0.2453913914
552	0.2453023841
553	0.2452642496
554	0.2451770033
555	0.2451016706
556	0.2450389945
557	0.2447319051
558	0.2446902911
559	0.2445734562
560	0.2444939366
561	0.2443614938
562	0.2443337278
563	0.2442684128
564	0.2441052495
565	0.2440371284
566	0.2439875342
567	0.2438523948
568	0.243714866
569	0.2435686267
570	0.2434832527
571	0.2434781192
572	0.2434095158
573	0.243350837
574	0.243288304
575	0.2432754622
576	0.2432301585
577	0.2432115761
578	0.2430386623
579	0.2427820725
580	0.2427439147
581	0.2427003917
582	0.242647098
583	0.2425785221
584	0.2424239662
585	0.2423405078
586	0.2422981406
587	0.2421640487
588	0.2421029606
589	0.2420732484
590	0.2419421874
591	0.2418142489
592	0.2416449843
593	0.2415959546
594	0.2415397314
595	0.2414660171
596	0.2413565819
597	0.2411945711
598	0.2411498066
599	0.2410741349
600	0.2409956366
601	0.2409825974
602	0.2408301616
603	0.240730202
604	0.2405248947
605	0.2404573515
606	0.2403490016
607	0.2403024374
608	0.2402103584
609	0.240195793
610	0.2400634231
611	0.2399584506
612	0.2398951984
613	0.2398539419
614	0.2398002169
615	0.2395736018
616	0.2395141917
617	0.2392690498
618	0.239009691
619	0.2388888026
620	0.2387850516
621	0.2386600768
622	0.2386399081
623	0.238602887
624	0.2383728061
625	0.2381375481
626	0.2380041236
627	0.2378561229
628	0.2378124516
629	0.2377467428
630	0.2376936776
631	0.2376801466
632	0.2376176975
633	0.2375470779
634	0.2375053824
635	0.2374435795
636	0.2373750298
637	0.237190179
638	0.2367613847
639	0.2365720687
640	0.2364122276
641	0.2362872266
642	0.2362124954
643	0.2361785565
644	0.2360650025
645	0.2360116167
646	0.2359924785
647	0.2359460453
648	0.235889037
649	0.2357184366
650	0.235663487
651	0.2356513152
652	0.2355592563
653	0.2355108239
654	0.2351947164
655	0.235133371
656	0.235048655
657	0.234934419
658	0.2348593195
659	0.2345469401
660	0.2343814441
661	0.2342813247
662	0.23421896
663	0.2341455234
664	0.2341321031
665	0.2340296353
666	0.2339222576
667	0.2338727539
668	0.2337733761
669	0.2336975729
670	0.2335185604
671	0.2334987194
672	0.2334292259
673	0.233315152
674	0.2330230326
675	0.2329994541
676	0.2329537203
677	0.232856858
678	0.2327708486
679	0.2325708401
680	0.2322967852
681	0.2322278312
682	0.2320691164
683	0.2320015781
684	0.2319275192
685	0.2318204345
686	0.231716391
687	0.2315112406
688	0.2313949109
689	0.2313792086
690	0.2313366573
691	0.2312835924
692	0.2312724549
693	0.2312158546
694	0.2311760094
695	0.2310993177
696	0.2309787591
697	0.230869529
698	0.2308072604
699	0.2307819966
700	0.2307688743
701	0.2306231692
702	0.230458931
703	0.2304192849
704	0.2302711427
705	0.2301604205
706	0.2300258549
707	0.2298092274
708	0.2296869798
709	0.2296078017
710	0.229503326
711	0.229448634
712	0.22938237
713	0.2291507086
714	0.229046861
715	0.2290158137
716	0.2289516993
717	0.2288685499
718	0.2287001249
719	0.2285466386
720	0.2283987805
721	0.2283099946
722	0.2282110476
723	0.2279320969
724	0.2278337427
725	0.2277538105
726	0.2276852198
727	0.2275354729
728	0.2274842447
729	0.2274278988
730	0.2273074972
731	0.2272508267
732	0.2269984792
733	0.2268549145
734	0.2268015622
735	0.2266812577
736	0.2266364306
737	0.2265175986
738	0.2264940734
739	0.2263294367
740	0.2261787867
741	0.226006246
742	0.2257425284
743	0.2257066746
744	0.2256574533
745	0.2255980924
746	0.2255562241
747	0.2255059839
748	0.2254799189
749	0.2254624267
750	0.2252198598
751	0.2251344795
752	0.225025708
753	0.2249311367
754	0.2248920956
755	0.2248346574
756	0.2247347303
757	0.2246656788
758	0.2245911205
759	0.2244760843
760	0.2243935616
761	0.2243582053
762	0.2240899767
763	0.2239424141
764	0.2237125117
765	0.2235313582
766	0.2233449315
767	0.2231187631
768	0.2230726244
769	0.2229904657
770	0.2228518721
771	0.2228177274
772	0.2226487883
773	0.2224982716
774	0.2224399324
775	0.2222800879
776	0.2220355525
777	0.2219650232
778	0.2218807641
779	0.2216349079
780	0.2216247414
781	0.2214468335
782	0.2213283429
783	0.2212834574
784	0.2211924638
785	0.2211357476
786	0.2211044529
787	0.220923889
788	0.220881532
789	0.2207453955
790	0.2206767616
791	0.2205853977
792	0.2205436019
793	0.2204998275
794	0.2202975772
795	0.2202717218
796	0.21999009
797	0.21983557
798	0.2198177477
799	0.2197321308
800	0.2196534129
801	0.2195944871
802	0.2194834942
803	0.2193664696
804	0.2193273378
805	0.2191682032
806	0.2190439016
807	0.2189705486
808	0.2187155896
809	0.2186727959
810	0.2185783684
811	0.218488331
812	0.2184246384
813	0.218261234
814	0.2181310204
815	0.2180894857
816	0.2180443164
817	0.2179621778
818	0.2179121092
819	0.217801114
820	0.2176507794
821	0.217628701
822	0.2175490184
823	0.217494405
824	0.2172730106
825	0.2170888928
826	0.2170172039
827	0.2169021589
828	0.2168161038
829	0.2167567816
830	0.2167465903
831	0.2166946677
832	0.2166769583
833	0.2164866328
834	0.216348212
